Epoch,Total Reward,Initial Cash,Current Cash,Inventory Worth,Net Worth,Total Profit,Investment,HOLD,BUY,SELL,ALL,HOLD R,BUY R,SELL R
1,212.40000000000003,10000,5456.710006713867,6287.610076904297,11744.320083618164,926.3699798583984,17.443200836181642,84,95,74,253,0.33201581027667987,0.37549407114624506,0.2924901185770751
2,95.19999999999997,10000,10380.359985351562,0.0,10380.359985351562,380.3599853515625,3.8035998535156246,107,73,73,253,0.42292490118577075,0.2885375494071146,0.2885375494071146
3,85.49999999999999,10000,10359.500076293945,0.0,10359.500076293945,359.5000762939453,3.5950007629394527,95,79,79,253,0.37549407114624506,0.31225296442687744,0.31225296442687744
4,139.1,10000,10633.730010986328,0.0,10633.730010986328,633.7300109863281,6.337300109863281,93,80,80,253,0.3675889328063241,0.31620553359683795,0.31620553359683795
5,24.600000000000016,10000,9930.150100708008,0.0,9930.150100708008,-69.84989929199219,-0.6984989929199219,91,81,81,253,0.35968379446640314,0.3201581027667984,0.3201581027667984
6,71.60000000000001,10000,10299.449981689453,0.0,10299.449981689453,299.4499816894531,2.9944998168945314,97,78,78,253,0.383399209486166,0.308300395256917,0.308300395256917
7,111.39999999999995,10000,10393.009994506836,0.0,10393.009994506836,393.00999450683594,3.930099945068359,91,81,81,253,0.35968379446640314,0.3201581027667984,0.3201581027667984
8,53.300000000000004,10000,10141.010131835938,0.0,10141.010131835938,141.0101318359375,1.4101013183593751,87,83,83,253,0.3438735177865613,0.32806324110671936,0.32806324110671936
9,150.7,10000,10581.410079956055,0.0,10581.410079956055,581.4100799560547,5.8141007995605465,79,87,87,253,0.31225296442687744,0.3438735177865613,0.3438735177865613
10,61.900000000000006,10000,10152.120056152344,0.0,10152.120056152344,152.12005615234375,1.5212005615234374,85,84,84,253,0.3359683794466403,0.33201581027667987,0.33201581027667987
11,200.89999999999998,10000,10851.810089111328,0.0,10851.810089111328,851.8100891113281,8.518100891113281,73,90,90,253,0.2885375494071146,0.3557312252964427,0.3557312252964427
12,170.59999999999994,10000,10755.309951782227,0.0,10755.309951782227,755.3099517822266,7.553099517822266,79,87,87,253,0.31225296442687744,0.3438735177865613,0.3438735177865613
13,81.29999999999998,10000,9694.18000793457,598.8200073242188,10293.000015258789,256.5600128173828,2.9300001525878905,83,86,84,253,0.32806324110671936,0.33992094861660077,0.33201581027667987
14,143.9,10000,10246.129989624023,299.4100036621094,10545.539993286133,525.5500030517578,5.4553999328613285,62,96,95,253,0.2450592885375494,0.3794466403162055,0.37549407114624506
15,330.90000000000003,10000,11473.750015258789,0.0,11473.750015258789,1473.750015258789,14.73750015258789,69,92,92,253,0.2727272727272727,0.36363636363636365,0.36363636363636365
16,90.89999999999996,10000,10261.399917602539,0.0,10261.399917602539,261.39991760253906,2.6139991760253904,73,90,90,253,0.2885375494071146,0.3557312252964427,0.3557312252964427
17,100.20000000000002,10000,10349.639862060547,0.0,10349.639862060547,349.6398620605469,3.496398620605469,87,83,83,253,0.3438735177865613,0.32806324110671936,0.32806324110671936
18,119.69999999999999,10000,10471.230010986328,0.0,10471.230010986328,471.2300109863281,4.712300109863281,87,83,83,253,0.3438735177865613,0.32806324110671936,0.32806324110671936
19,157.6,10000,10588.679977416992,0.0,10588.679977416992,588.6799774169922,5.886799774169922,75,89,89,253,0.2964426877470356,0.35177865612648224,0.35177865612648224
20,92.3,10000,10277.180160522461,0.0,10277.180160522461,277.18016052246094,2.7718016052246095,83,85,85,253,0.32806324110671936,0.3359683794466403,0.3359683794466403
