Epoch,Total Reward,Initial Cash,Current Cash,Inventory Worth,Net Worth,Total Profit,Investment,HOLD,BUY,SELL,ALL,HOLD R,BUY R,SELL R
37,220.10000000000002,10000,10863.299942016602,0.0,10863.299942016602,863.2999420166016,8.632999420166016,63,95,95,253,0.2490118577075099,0.37549407114624506,0.37549407114624506
38,146.80000000000004,10000,10469.369995117188,0.0,10469.369995117188,469.3699951171875,4.693699951171875,55,99,99,253,0.21739130434782608,0.391304347826087,0.391304347826087
39,317.79999999999995,10000,11286.349807739258,0.0,11286.349807739258,1286.3498077392578,12.86349807739258,55,99,99,253,0.21739130434782608,0.391304347826087,0.391304347826087
40,181.30000000000004,10000,10653.469955444336,0.0,10653.469955444336,653.4699554443359,6.53469955444336,35,109,109,253,0.1383399209486166,0.4308300395256917,0.4308300395256917
41,263.5,10000,1435.0400085449219,13772.860168457031,15207.900177001953,1145.4800109863281,52.07900177001953,139,80,34,253,0.549407114624506,0.31620553359683795,0.13438735177865613
42,190.6,10000,725.8199615478516,15868.730194091797,16594.55015563965,796.1299743652344,65.94550155639648,158,74,21,253,0.6245059288537549,0.2924901185770751,0.08300395256916997
43,355.0999999999999,10000,2779.4199829101562,12575.220153808594,15354.64013671875,1582.22998046875,53.5464013671875,139,78,36,253,0.549407114624506,0.308300395256917,0.1422924901185771
44,184.00000000000003,10000,1236.5699615478516,14371.68017578125,15608.250137329102,755.8699798583984,56.08250137329102,155,73,25,253,0.6126482213438735,0.2885375494071146,0.09881422924901186
45,620.3,10000,13000.350006103516,0.0,13000.350006103516,3000.3500061035156,30.003500061035155,77,88,88,253,0.30434782608695654,0.34782608695652173,0.34782608695652173
46,183.50000000000003,10000,10576.200057983398,0.0,10576.200057983398,576.2000579833984,5.762000579833984,43,105,105,253,0.16996047430830039,0.4150197628458498,0.4150197628458498
47,310.9,10000,11339.479888916016,0.0,11339.479888916016,1339.4798889160156,13.394798889160157,55,99,99,253,0.21739130434782608,0.391304347826087,0.391304347826087
48,229.6,10000,10812.800048828125,0.0,10812.800048828125,812.800048828125,8.12800048828125,47,103,103,253,0.1857707509881423,0.40711462450592883,0.40711462450592883
49,266.7,10000,11039.629821777344,0.0,11039.629821777344,1039.6298217773438,10.396298217773438,51,101,101,253,0.2015810276679842,0.39920948616600793,0.39920948616600793
50,280.7,10000,2516.9300231933594,12575.220153808594,15092.150177001953,1294.510009765625,50.92150177001953,125,85,43,253,0.49407114624505927,0.3359683794466403,0.16996047430830039
