Epoch,Initial Cash,Current Cash,Inventory Worth,Net Worth,Total Profit,Investment,HOLD,BUY,SELL
74,10000,3928.8346405029297,6422.039978027344,10350.874618530273,32.42463684082031,3.5087461853027344,467,28,10
75,10000,1166.619285583496,27472.05990600586,28638.679191589355,13828.786018371582,186.38679191589355,138,222,145
76,10000,117.47867584228516,40316.13986206055,40433.61853790283,318.9173355102539,304.33618537902834,344,137,24
77,10000,103.23532295227051,58155.13980102539,58258.37512397766,0.0,482.5837512397766,342,163,0
78,10000,97.2139892578125,58155.13980102539,58252.3537902832,0.0,482.523537902832,342,163,0
79,10000,81.35265731811523,58511.91979980469,58593.2724571228,904.6940021514893,485.93272457122805,333,168,4
80,10000,71.25266647338867,58511.91979980469,58583.172466278076,185.55800437927246,485.83172466278074,339,165,1
81,10000,35.08199691772461,58155.13980102539,58190.221797943115,239.86000061035156,481.90221797943116,336,166,3
82,10000,24.769977569580078,58155.13980102539,58179.90977859497,631.5866470336914,481.79909778594975,332,168,5
83,10000,96.74798202514648,57798.359802246094,57895.10778427124,247.04999542236328,478.9510778427124,339,164,2
84,10000,73.13265609741211,58511.91979980469,58585.0524559021,0.0,485.850524559021,341,164,0
85,10000,24340.138608932495,0.0,24340.138608932495,14340.138608932495,143.40138608932494,241,132,132
86,10000,11607.12399673462,356.7799987792969,11963.903995513916,1963.903995513916,19.63903995513916,382,62,61
87,10000,9997.33332824707,0.0,9997.33332824707,-2.6666717529296875,-0.026666717529296873,503,1,1
88,10000,9990.196670532227,0.0,9990.196670532227,-9.803329467773438,-0.09803329467773438,501,2,2
89,10000,10002.356651306152,0.0,10002.356651306152,2.3566513061523438,0.023566513061523436,501,2,2
90,10000,10001.213325500488,0.0,10001.213325500488,1.2133255004882812,0.012133255004882812,501,2,2
91,10000,10000.0,0.0,10000.0,0.0,0.0,505,0,0
92,10000,9997.541999816895,0.0,9997.541999816895,-2.4580001831054688,-0.024580001831054688,503,1,1
93,10000,10000.0,0.0,10000.0,0.0,0.0,505,0,0
94,10000,9989.842666625977,0.0,9989.842666625977,-10.157333374023438,-0.10157333374023438,503,1,1
95,10000,9980.85334777832,0.0,9980.85334777832,-19.146652221679688,-0.19146652221679689,501,2,2
96,10000,9990.502670288086,0.0,9990.502670288086,-9.497329711914062,-0.09497329711914063,499,3,3
97,10000,10006.475994110107,0.0,10006.475994110107,6.475994110107422,0.06475994110107422,495,5,5
98,10000,9989.099975585938,0.0,9989.099975585938,-10.9000244140625,-0.109000244140625,501,2,2
99,10000,10000.0,0.0,10000.0,0.0,0.0,505,0,0
100,10000,10006.810012817383,0.0,10006.810012817383,6.8100128173828125,0.06810012817382813,497,4,4
