Day,Price,Action Output,Action,Reward,Inventory,Initial Cash,Current Cash,Inventory Worth,Net Worth,Total Profit,Investment,HOLD,BUY,SELL,ALL,HOLD R,BUY R,SELL R
1,27.8886661529541,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,1,0,0,1,1.0,0.0,0.0
2,28.68400001525879,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,2,0,0,2,1.0,0.0,0.0
3,29.534000396728516,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,3,0,0,3,1.0,0.0,0.0
4,30.1026668548584,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,4,0,0,4,1.0,0.0,0.0
5,31.270666122436523,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,5,0,0,5,1.0,0.0,0.0
6,32.80933380126953,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,6,0,0,6,1.0,0.0,0.0
7,32.089332580566406,1,BUY,0.5,[32.089332580566406],10000,9967.910667419434,32.089332580566406,10000.0,0.0,0.0,6,1,0,7,0.8571428571428571,0.14285714285714285,0.0
8,31.876667022705078,0,HOLD,4.5397868702434395e-05,[32.089332580566406],10000,9967.910667419434,31.876667022705078,9999.787334442139,0.0,-0.0021266555786132813,7,1,0,8,0.875,0.125,0.0
9,34.990665435791016,0,HOLD,4.5397868702434395e-05,[32.089332580566406],10000,9967.910667419434,34.990665435791016,10002.901332855225,0.0,0.029013328552246097,8,1,0,9,0.8888888888888888,0.1111111111111111,0.0
10,35.861331939697266,0,HOLD,4.5397868702434395e-05,[32.089332580566406],10000,9967.910667419434,35.861331939697266,10003.77199935913,0.0,0.03771999359130859,9,1,0,10,0.9,0.1,0.0
11,34.56666564941406,0,HOLD,4.5397868702434395e-05,[32.089332580566406],10000,9967.910667419434,34.56666564941406,10002.477333068848,0.0,0.024773330688476564,10,1,0,11,0.9090909090909091,0.09090909090909091,0.0
12,34.232666015625,0,HOLD,4.5397868702434395e-05,[32.089332580566406],10000,9967.910667419434,34.232666015625,10002.143333435059,0.0,0.021433334350585937,11,1,0,12,0.9166666666666666,0.08333333333333333,0.0
13,34.03333282470703,2,SELL,0.8747909544921101,[],10000,10001.94400024414,0.0,10001.94400024414,1.944000244140625,0.01944000244140625,11,1,1,13,0.8461538461538461,0.07692307692307693,0.07692307692307693
14,36.47999954223633,0,HOLD,4.5397868702434395e-05,[],10000,10001.94400024414,0.0,10001.94400024414,1.944000244140625,0.01944000244140625,12,1,1,14,0.8571428571428571,0.07142857142857142,0.07142857142857142
15,37.97066879272461,0,HOLD,0.5,[],10000,10001.94400024414,0.0,10001.94400024414,1.944000244140625,0.01944000244140625,12,1,1,14,0.8571428571428571,0.07142857142857142,0.07142857142857142
16,38.14666748046875,0,HOLD,4.5397868702434395e-05,[],10000,10001.94400024414,0.0,10001.94400024414,1.944000244140625,0.01944000244140625,13,1,1,15,0.8666666666666667,0.06666666666666667,0.06666666666666667
17,37.654666900634766,0,HOLD,4.5397868702434395e-05,[],10000,10001.94400024414,0.0,10001.94400024414,1.944000244140625,0.01944000244140625,14,1,1,16,0.875,0.0625,0.0625
18,37.201332092285156,0,HOLD,4.5397868702434395e-05,[],10000,10001.94400024414,0.0,10001.94400024414,1.944000244140625,0.01944000244140625,15,1,1,17,0.8823529411764706,0.058823529411764705,0.058823529411764705
19,37.793331146240234,0,HOLD,4.5397868702434395e-05,[],10000,10001.94400024414,0.0,10001.94400024414,1.944000244140625,0.01944000244140625,16,1,1,18,0.8888888888888888,0.05555555555555555,0.05555555555555555
20,38.732666015625,0,HOLD,4.5397868702434395e-05,[],10000,10001.94400024414,0.0,10001.94400024414,1.944000244140625,0.01944000244140625,17,1,1,19,0.8947368421052632,0.05263157894736842,0.05263157894736842
21,42.72066879272461,1,BUY,0.5,[42.72066879272461],10000,9959.223331451416,42.72066879272461,10001.94400024414,1.944000244140625,0.01944000244140625,17,2,1,20,0.85,0.1,0.05
22,43.371334075927734,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9959.223331451416,43.371334075927734,10002.594665527344,1.944000244140625,0.0259466552734375,18,2,1,21,0.8571428571428571,0.09523809523809523,0.047619047619047616
23,52.0,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9959.223331451416,52.0,10011.223331451416,1.944000244140625,0.11223331451416016,19,2,1,22,0.8636363636363636,0.09090909090909091,0.045454545454545456
24,59.137332916259766,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9959.223331451416,59.137332916259766,10018.360664367676,1.944000244140625,0.18360664367675783,20,2,1,23,0.8695652173913043,0.08695652173913043,0.043478260869565216
25,48.97999954223633,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9959.223331451416,48.97999954223633,10008.203330993652,1.944000244140625,0.08203330993652344,21,2,1,24,0.875,0.08333333333333333,0.041666666666666664
26,49.930667877197266,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9959.223331451416,49.930667877197266,10009.153999328613,1.944000244140625,0.09153999328613281,22,2,1,25,0.88,0.08,0.04
27,49.871334075927734,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9959.223331451416,49.871334075927734,10009.094665527344,1.944000244140625,0.09094665527343751,23,2,1,26,0.8846153846153846,0.07692307692307693,0.038461538461538464
28,51.41866683959961,2,SELL,0.999833108215499,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,23,2,2,27,0.8518518518518519,0.07407407407407407,0.07407407407407407
29,51.62533187866211,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,24,2,2,28,0.8571428571428571,0.07142857142857142,0.07142857142857142
30,51.15266799926758,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,25,2,2,29,0.8620689655172413,0.06896551724137931,0.06896551724137931
31,53.599998474121094,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,26,2,2,30,0.8666666666666667,0.06666666666666667,0.06666666666666667
32,53.33533477783203,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,27,2,2,31,0.8709677419354839,0.06451612903225806,0.06451612903225806
33,57.22666549682617,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,28,2,2,32,0.875,0.0625,0.0625
34,61.16133117675781,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,29,2,2,33,0.8787878787878788,0.06060606060606061,0.06060606060606061
35,59.96066665649414,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,30,2,2,34,0.8823529411764706,0.058823529411764705,0.058823529411764705
36,60.06666564941406,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,31,2,2,35,0.8857142857142857,0.05714285714285714,0.05714285714285714
37,55.58599853515625,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,32,2,2,36,0.8888888888888888,0.05555555555555555,0.05555555555555555
38,53.32733154296875,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,33,2,2,37,0.8918918918918919,0.05405405405405406,0.05405405405405406
39,51.91999816894531,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,34,2,2,38,0.8947368421052632,0.05263157894736842,0.05263157894736842
40,45.266666412353516,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,35,2,2,39,0.8974358974358975,0.05128205128205128,0.05128205128205128
41,44.53266525268555,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,36,2,2,40,0.9,0.05,0.05
42,49.574668884277344,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,37,2,2,41,0.9024390243902439,0.04878048780487805,0.04878048780487805
43,49.70066833496094,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,38,2,2,42,0.9047619047619048,0.047619047619047616,0.047619047619047616
44,49.96666717529297,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,39,2,2,43,0.9069767441860465,0.046511627906976744,0.046511627906976744
45,48.30266571044922,0,HOLD,0.5,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,39,2,2,43,0.9069767441860465,0.046511627906976744,0.046511627906976744
46,46.89866638183594,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,40,2,2,44,0.9090909090909091,0.045454545454545456,0.045454545454545456
47,40.53333282470703,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,41,2,2,45,0.9111111111111111,0.044444444444444446,0.044444444444444446
48,43.02199935913086,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,42,2,2,46,0.9130434782608695,0.043478260869565216,0.043478260869565216
49,42.28200149536133,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,43,2,2,47,0.9148936170212766,0.0425531914893617,0.0425531914893617
50,37.369998931884766,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,44,2,2,48,0.9166666666666666,0.041666666666666664,0.041666666666666664
51,36.44133377075195,0,HOLD,4.5397868702434395e-05,[],10000,10010.641998291016,0.0,10010.641998291016,10.641998291015625,0.10641998291015624,45,2,2,49,0.9183673469387755,0.04081632653061224,0.04081632653061224
52,29.67133331298828,1,BUY,0.5,[29.67133331298828],10000,9980.970664978027,29.67133331298828,10010.641998291016,10.641998291015625,0.10641998291015624,45,3,2,50,0.9,0.06,0.04
53,28.68000030517578,2,SELL,0.27064886406679256,[],10000,10009.650665283203,0.0,10009.650665283203,9.650665283203125,0.09650665283203125,45,3,3,51,0.8823529411764706,0.058823529411764705,0.058823529411764705
54,24.08133316040039,0,HOLD,4.5397868702434395e-05,[],10000,10009.650665283203,0.0,10009.650665283203,9.650665283203125,0.09650665283203125,46,3,3,52,0.8846153846153846,0.057692307692307696,0.057692307692307696
55,28.50933265686035,0,HOLD,4.5397868702434395e-05,[],10000,10009.650665283203,0.0,10009.650665283203,9.650665283203125,0.09650665283203125,47,3,3,53,0.8867924528301887,0.05660377358490566,0.05660377358490566
56,28.50200080871582,0,HOLD,4.5397868702434395e-05,[],10000,10009.650665283203,0.0,10009.650665283203,9.650665283203125,0.09650665283203125,48,3,3,54,0.8888888888888888,0.05555555555555555,0.05555555555555555
57,28.952667236328125,1,BUY,0.5,[28.952667236328125],10000,9980.697998046875,28.952667236328125,10009.650665283203,9.650665283203125,0.09650665283203125,48,4,3,55,0.8727272727272727,0.07272727272727272,0.05454545454545454
