Day,Price,Action Output,Action,Reward,Inventory,Initial Cash,Current Cash,Inventory Worth,Net Worth,Total Profit,Investment,HOLD,BUY,SELL,ALL,HOLD R,BUY R,SELL R
1,27.8886661529541,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,1,0,0,1,1.0,0.0,0.0
2,28.68400001525879,1,BUY,0.5,[28.68400001525879],10000,9971.315999984741,28.68400001525879,10000.0,0.0,0.0,1,1,0,2,0.5,0.5,0.0
3,29.534000396728516,0,HOLD,4.5397868702434395e-05,[28.68400001525879],10000,9971.315999984741,29.534000396728516,10000.85000038147,0.0,0.008500003814697265,2,1,0,3,0.6666666666666666,0.3333333333333333,0.0
4,30.1026668548584,0,HOLD,4.5397868702434395e-05,[28.68400001525879],10000,9971.315999984741,30.1026668548584,10001.4186668396,0.0,0.014186668395996095,3,1,0,4,0.75,0.25,0.0
5,31.270666122436523,0,HOLD,4.5397868702434395e-05,[28.68400001525879],10000,9971.315999984741,31.270666122436523,10002.586666107178,0.0,0.025866661071777344,4,1,0,5,0.8,0.2,0.0
6,32.80933380126953,2,SELL,0.9840988323227537,[],10000,10004.12533378601,0.0,10004.12533378601,4.125333786010742,0.041253337860107424,4,1,1,6,0.6666666666666666,0.16666666666666666,0.16666666666666666
7,32.089332580566406,0,HOLD,4.5397868702434395e-05,[],10000,10004.12533378601,0.0,10004.12533378601,4.125333786010742,0.041253337860107424,5,1,1,7,0.7142857142857143,0.14285714285714285,0.14285714285714285
8,31.876667022705078,1,BUY,0.5,[31.876667022705078],10000,9972.248666763306,31.876667022705078,10004.12533378601,4.125333786010742,0.041253337860107424,5,2,1,8,0.625,0.25,0.125
9,34.990665435791016,2,SELL,0.9574664869811629,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,5,2,2,9,0.5555555555555556,0.2222222222222222,0.2222222222222222
10,35.861331939697266,0,HOLD,0.5,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,5,2,2,9,0.5555555555555556,0.2222222222222222,0.2222222222222222
11,34.56666564941406,0,HOLD,4.5397868702434395e-05,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,6,2,2,10,0.6,0.2,0.2
12,34.232666015625,0,HOLD,4.5397868702434395e-05,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,7,2,2,11,0.6363636363636364,0.18181818181818182,0.18181818181818182
13,34.03333282470703,0,HOLD,4.5397868702434395e-05,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,8,2,2,12,0.6666666666666666,0.16666666666666666,0.16666666666666666
14,36.47999954223633,0,HOLD,0.5,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,8,2,2,12,0.6666666666666666,0.16666666666666666,0.16666666666666666
15,37.97066879272461,0,HOLD,4.5397868702434395e-05,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,9,2,2,13,0.6923076923076923,0.15384615384615385,0.15384615384615385
16,38.14666748046875,0,HOLD,4.5397868702434395e-05,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,10,2,2,14,0.7142857142857143,0.14285714285714285,0.14285714285714285
17,37.654666900634766,0,HOLD,4.5397868702434395e-05,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,11,2,2,15,0.7333333333333333,0.13333333333333333,0.13333333333333333
18,37.201332092285156,0,HOLD,4.5397868702434395e-05,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,12,2,2,16,0.75,0.125,0.125
19,37.793331146240234,0,HOLD,0.5,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,12,2,2,16,0.75,0.125,0.125
20,38.732666015625,0,HOLD,4.5397868702434395e-05,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,13,2,2,17,0.7647058823529411,0.11764705882352941,0.11764705882352941
21,42.72066879272461,0,HOLD,0.5,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,13,2,2,17,0.7647058823529411,0.11764705882352941,0.11764705882352941
22,43.371334075927734,0,HOLD,4.5397868702434395e-05,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,14,2,2,18,0.7777777777777778,0.1111111111111111,0.1111111111111111
23,52.0,0,HOLD,4.5397868702434395e-05,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,15,2,2,19,0.7894736842105263,0.10526315789473684,0.10526315789473684
24,59.137332916259766,0,HOLD,4.5397868702434395e-05,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,16,2,2,20,0.8,0.1,0.1
25,48.97999954223633,0,HOLD,4.5397868702434395e-05,[],10000,10007.239332199097,0.0,10007.239332199097,7.23933219909668,0.0723933219909668,17,2,2,21,0.8095238095238095,0.09523809523809523,0.09523809523809523
26,49.930667877197266,1,BUY,0.5,[49.930667877197266],10000,9957.3086643219,49.930667877197266,10007.239332199097,7.23933219909668,0.0723933219909668,17,3,2,22,0.7727272727272727,0.13636363636363635,0.09090909090909091
27,49.871334075927734,1,BUY,0.5,"[49.930667877197266, 49.871334075927734]",10000,9907.437330245972,99.74266815185547,10007.179998397827,7.23933219909668,0.07179998397827148,17,4,2,23,0.7391304347826086,0.17391304347826086,0.08695652173913043
28,51.41866683959961,0,HOLD,4.5397868702434395e-05,"[49.930667877197266, 49.871334075927734]",10000,9907.437330245972,102.83733367919922,10010.27466392517,7.23933219909668,0.10274663925170899,18,4,2,24,0.75,0.16666666666666666,0.08333333333333333
29,51.62533187866211,0,HOLD,4.5397868702434395e-05,"[49.930667877197266, 49.871334075927734]",10000,9907.437330245972,103.25066375732422,10010.687994003296,7.23933219909668,0.10687994003295899,19,4,2,25,0.76,0.16,0.08
30,51.15266799926758,1,BUY,0.5,"[49.930667877197266, 49.871334075927734, 51.15266799926758]",10000,9856.284662246704,153.45800399780273,10009.742666244507,7.23933219909668,0.09742666244506835,19,5,2,26,0.7307692307692307,0.19230769230769232,0.07692307692307693
31,53.599998474121094,0,HOLD,4.5397868702434395e-05,"[49.930667877197266, 49.871334075927734, 51.15266799926758]",10000,9856.284662246704,160.79999542236328,10017.084657669067,7.23933219909668,0.17084657669067382,20,5,2,27,0.7407407407407407,0.18518518518518517,0.07407407407407407
32,53.33533477783203,0,HOLD,4.5397868702434395e-05,"[49.930667877197266, 49.871334075927734, 51.15266799926758]",10000,9856.284662246704,160.0060043334961,10016.2906665802,7.23933219909668,0.16290666580200194,21,5,2,28,0.75,0.17857142857142858,0.07142857142857142
33,57.22666549682617,0,HOLD,4.5397868702434395e-05,"[49.930667877197266, 49.871334075927734, 51.15266799926758]",10000,9856.284662246704,171.67999649047852,10027.964658737183,7.23933219909668,0.2796465873718261,22,5,2,29,0.7586206896551724,0.1724137931034483,0.06896551724137931
34,61.16133117675781,0,HOLD,4.5397868702434395e-05,"[49.930667877197266, 49.871334075927734, 51.15266799926758]",10000,9856.284662246704,183.48399353027344,10039.768655776978,7.23933219909668,0.39768655776977535,23,5,2,30,0.7666666666666667,0.16666666666666666,0.06666666666666667
35,59.96066665649414,0,HOLD,4.5397868702434395e-05,"[49.930667877197266, 49.871334075927734, 51.15266799926758]",10000,9856.284662246704,179.88199996948242,10036.166662216187,7.23933219909668,0.36166662216186524,24,5,2,31,0.7741935483870968,0.16129032258064516,0.06451612903225806
36,60.06666564941406,2,SELL,0.9999603744877543,"[49.871334075927734, 51.15266799926758]",10000,9916.351327896118,120.13333129882812,10036.484659194946,17.375329971313477,0.3648465919494629,24,5,3,32,0.75,0.15625,0.09375
37,55.58599853515625,0,HOLD,4.5397868702434395e-05,"[49.871334075927734, 51.15266799926758]",10000,9916.351327896118,111.1719970703125,10027.52332496643,17.375329971313477,0.2752332496643066,25,5,3,33,0.7575757575757576,0.15151515151515152,0.09090909090909091
38,53.32733154296875,0,HOLD,4.5397868702434395e-05,"[49.871334075927734, 51.15266799926758]",10000,9916.351327896118,106.6546630859375,10023.005990982056,17.375329971313477,0.23005990982055666,26,5,3,34,0.7647058823529411,0.14705882352941177,0.08823529411764706
39,51.91999816894531,0,HOLD,4.5397868702434395e-05,"[49.871334075927734, 51.15266799926758]",10000,9916.351327896118,103.83999633789062,10020.191324234009,17.375329971313477,0.2019132423400879,27,5,3,35,0.7714285714285715,0.14285714285714285,0.08571428571428572
40,45.266666412353516,2,SELL,0.009905917519830257,[51.15266799926758],10000,9961.617994308472,45.266666412353516,10006.884660720825,12.770662307739258,0.06884660720825195,27,5,4,36,0.75,0.1388888888888889,0.1111111111111111
41,44.53266525268555,0,HOLD,4.5397868702434395e-05,[51.15266799926758],10000,9961.617994308472,44.53266525268555,10006.150659561157,12.770662307739258,0.06150659561157226,28,5,4,37,0.7567567567567568,0.13513513513513514,0.10810810810810811
42,49.574668884277344,0,HOLD,4.5397868702434395e-05,[51.15266799926758],10000,9961.617994308472,49.574668884277344,10011.192663192749,12.770662307739258,0.11192663192749024,29,5,4,38,0.7631578947368421,0.13157894736842105,0.10526315789473684
43,49.70066833496094,0,HOLD,4.5397868702434395e-05,[51.15266799926758],10000,9961.617994308472,49.70066833496094,10011.318662643433,12.770662307739258,0.11318662643432617,30,5,4,39,0.7692307692307693,0.1282051282051282,0.10256410256410256
44,49.96666717529297,2,SELL,0.23397494807074107,[],10000,10011.584661483765,0.0,10011.584661483765,11.584661483764648,0.1158466148376465,30,5,5,40,0.75,0.125,0.125
45,48.30266571044922,0,HOLD,4.5397868702434395e-05,[],10000,10011.584661483765,0.0,10011.584661483765,11.584661483764648,0.1158466148376465,31,5,5,41,0.7560975609756098,0.12195121951219512,0.12195121951219512
46,46.89866638183594,0,HOLD,4.5397868702434395e-05,[],10000,10011.584661483765,0.0,10011.584661483765,11.584661483764648,0.1158466148376465,32,5,5,42,0.7619047619047619,0.11904761904761904,0.11904761904761904
47,40.53333282470703,0,HOLD,4.5397868702434395e-05,[],10000,10011.584661483765,0.0,10011.584661483765,11.584661483764648,0.1158466148376465,33,5,5,43,0.7674418604651163,0.11627906976744186,0.11627906976744186
48,43.02199935913086,1,BUY,0.5,[43.02199935913086],10000,9968.562662124634,43.02199935913086,10011.584661483765,11.584661483764648,0.1158466148376465,33,6,5,44,0.75,0.13636363636363635,0.11363636363636363
49,42.28200149536133,1,BUY,0.5,"[43.02199935913086, 42.28200149536133]",10000,9926.280660629272,84.56400299072266,10010.844663619995,11.584661483764648,0.10844663619995118,33,7,5,45,0.7333333333333333,0.15555555555555556,0.1111111111111111
50,37.369998931884766,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133]",10000,9926.280660629272,74.73999786376953,10001.020658493042,11.584661483764648,0.010206584930419921,34,7,5,46,0.7391304347826086,0.15217391304347827,0.10869565217391304
51,36.44133377075195,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133]",10000,9926.280660629272,72.8826675415039,9999.163328170776,11.584661483764648,-0.008366718292236328,35,7,5,47,0.7446808510638298,0.14893617021276595,0.10638297872340426
52,29.67133331298828,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133]",10000,9926.280660629272,59.34266662597656,9985.623327255249,11.584661483764648,-0.14376672744750976,36,7,5,48,0.75,0.14583333333333334,0.10416666666666667
53,28.68000030517578,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133]",10000,9926.280660629272,57.36000061035156,9983.640661239624,11.584661483764648,-0.16359338760375977,37,7,5,49,0.7551020408163265,0.14285714285714285,0.10204081632653061
54,24.08133316040039,1,BUY,0.5,"[43.02199935913086, 42.28200149536133, 24.08133316040039]",10000,9902.199327468872,72.24399948120117,9974.443326950073,11.584661483764648,-0.2555667304992676,37,8,5,50,0.74,0.16,0.1
55,28.50933265686035,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133, 24.08133316040039]",10000,9902.199327468872,85.52799797058105,9987.727325439453,11.584661483764648,-0.12272674560546874,38,8,5,51,0.7450980392156863,0.1568627450980392,0.09803921568627451
56,28.50200080871582,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133, 24.08133316040039]",10000,9902.199327468872,85.50600242614746,9987.70532989502,11.584661483764648,-0.12294670104980468,39,8,5,52,0.75,0.15384615384615385,0.09615384615384616
57,28.952667236328125,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133, 24.08133316040039]",10000,9902.199327468872,86.85800170898438,9989.057329177856,11.584661483764648,-0.10942670822143555,40,8,5,53,0.7547169811320755,0.1509433962264151,0.09433962264150944
58,33.66666793823242,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133, 24.08133316040039]",10000,9902.199327468872,101.00000381469727,10003.19933128357,11.584661483764648,0.03199331283569336,41,8,5,54,0.7592592592592593,0.14814814814814814,0.09259259259259259
59,35.95000076293945,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133, 24.08133316040039]",10000,9902.199327468872,107.85000228881836,10010.04932975769,11.584661483764648,0.10049329757690428,42,8,5,55,0.7636363636363637,0.14545454545454545,0.09090909090909091
60,35.21066665649414,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133, 24.08133316040039]",10000,9902.199327468872,105.63199996948242,10007.831327438354,11.584661483764648,0.07831327438354492,43,8,5,56,0.7678571428571429,0.14285714285714285,0.08928571428571429
61,34.29066848754883,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133, 24.08133316040039]",10000,9902.199327468872,102.87200546264648,10005.071332931519,11.584661483764648,0.050713329315185546,44,8,5,57,0.7719298245614035,0.14035087719298245,0.08771929824561403
62,33.47533416748047,1,BUY,0.5,"[43.02199935913086, 42.28200149536133, 24.08133316040039, 33.47533416748047]",10000,9868.723993301392,133.90133666992188,10002.625329971313,11.584661483764648,0.026253299713134764,44,9,5,58,0.7586206896551724,0.15517241379310345,0.08620689655172414
63,34.93333435058594,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133, 24.08133316040039, 33.47533416748047]",10000,9868.723993301392,139.73333740234375,10008.457330703735,11.584661483764648,0.08457330703735351,45,9,5,59,0.7627118644067796,0.15254237288135594,0.0847457627118644
64,32.104000091552734,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133, 24.08133316040039, 33.47533416748047]",10000,9868.723993301392,128.41600036621094,9997.139993667603,11.584661483764648,-0.02860006332397461,46,9,5,60,0.7666666666666667,0.15,0.08333333333333333
65,30.29800033569336,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133, 24.08133316040039, 33.47533416748047]",10000,9868.723993301392,121.19200134277344,9989.915994644165,11.584661483764648,-0.10084005355834962,47,9,5,61,0.7704918032786885,0.14754098360655737,0.08196721311475409
66,32.000667572021484,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133, 24.08133316040039, 33.47533416748047]",10000,9868.723993301392,128.00267028808594,9996.726663589478,11.584661483764648,-0.03273336410522461,48,9,5,62,0.7741935483870968,0.14516129032258066,0.08064516129032258
67,34.41600036621094,0,HOLD,4.5397868702434395e-05,"[43.02199935913086, 42.28200149536133, 24.08133316040039, 33.47533416748047]",10000,9868.723993301392,137.66400146484375,10006.387994766235,11.584661483764648,0.06387994766235351,49,9,5,63,0.7777777777777778,0.14285714285714285,0.07936507936507936
