Day,Price,Action True,Action Final,Action,Inventory,Reward,Total Reward,Initial Cash,Current Cash,Inventory Worth,Net Worth,Total Profit,Investment,HOLD,BUY,SELL,ALL,HOLD R,BUY R,SELL R
44,191.4199981689453,0,0,HOLD,"[207.05999755859375, 190.6699981689453]",0.0,-6.900000000000001,10000,9525.050018310547,382.8399963378906,9907.890014648438,-77.21998596191406,-0.9210998535156251,10,18,16,44,0.22727272727272727,0.4090909090909091,0.36363636363636365
45,184.0399932861328,0,0,HOLD,"[207.05999755859375, 190.6699981689453]",0.0,-6.900000000000001,10000,9525.050018310547,368.0799865722656,9893.130004882812,-77.21998596191406,-1.0686999511718749,11,18,16,45,0.24444444444444444,0.4,0.35555555555555557
46,173.4199981689453,2,2,SELL,[190.6699981689453],-6.7,-13.600000000000001,10000,9698.470016479492,173.4199981689453,9871.890014648438,-110.8599853515625,-1.281099853515625,11,18,17,46,0.2391304347826087,0.391304347826087,0.3695652173913043
47,160.0500030517578,1,1,BUY,"[190.6699981689453, 160.0500030517578]",1.0,-12.600000000000001,10000,9538.420013427734,320.1000061035156,9858.52001953125,-110.8599853515625,-1.4147998046875,11,19,17,47,0.23404255319148937,0.40425531914893614,0.3617021276595745
48,164.47999572753906,2,2,SELL,[160.0500030517578],-5.2,-17.8,10000,9702.900009155273,164.47999572753906,9867.380004882812,-137.04998779296875,-1.3261999511718752,11,19,18,48,0.22916666666666666,0.3958333333333333,0.375
49,154.39999389648438,1,1,BUY,"[160.0500030517578, 154.39999389648438]",1.0,-16.8,10000,9548.500015258789,308.79998779296875,9857.300003051758,-137.04998779296875,-1.426999969482422,11,20,18,49,0.22448979591836735,0.40816326530612246,0.3673469387755102
50,136.0,1,1,BUY,"[160.0500030517578, 154.39999389648438, 136.0]",1.0,-15.8,10000,9412.500015258789,408.0,9820.500015258789,-137.04998779296875,-1.7949998474121094,11,21,18,50,0.22,0.42,0.36
51,158.02999877929688,0,0,HOLD,"[160.0500030517578, 154.39999389648438, 136.0]",0.0,-15.8,10000,9412.500015258789,474.0899963378906,9886.59001159668,-137.04998779296875,-1.134099884033203,12,21,18,51,0.23529411764705882,0.4117647058823529,0.35294117647058826
52,148.0800018310547,2,2,SELL,"[154.39999389648438, 136.0]",-2.4,-18.2,10000,9560.580017089844,296.1600036621094,9856.740020751953,-149.01998901367188,-1.4325997924804688,12,21,19,52,0.23076923076923078,0.40384615384615385,0.36538461538461536
53,154.9199981689453,0,0,HOLD,"[154.39999389648438, 136.0]",0.0,-18.2,10000,9560.580017089844,309.8399963378906,9870.420013427734,-149.01998901367188,-1.2957998657226564,13,21,19,53,0.24528301886792453,0.39622641509433965,0.3584905660377358
54,141.82000732421875,2,2,SELL,[136.0],-2.5,-20.7,10000,9702.400024414062,141.82000732421875,9844.220031738281,-161.5999755859375,-1.5577996826171874,13,21,20,54,0.24074074074074073,0.3888888888888889,0.37037037037037035
55,149.22999572753906,0,0,HOLD,[136.0],0.0,-20.7,10000,9702.400024414062,149.22999572753906,9851.630020141602,-161.5999755859375,-1.4836997985839844,14,21,20,55,0.2545454545454545,0.38181818181818183,0.36363636363636365
56,148.02000427246094,2,2,SELL,[],2.4,-18.3,10000,9850.420028686523,0.0,9850.420028686523,-149.57997131347656,-1.4957997131347656,14,21,21,56,0.25,0.375,0.375
57,144.13999938964844,1,1,BUY,[144.13999938964844],1.0,-17.3,10000,9706.280029296875,144.13999938964844,9850.420028686523,-149.57997131347656,-1.4957997131347656,14,22,21,57,0.24561403508771928,0.38596491228070173,0.3684210526315789
58,149.9600067138672,1,1,BUY,"[144.13999938964844, 149.9600067138672]",0.0,-17.3,10000,9556.320022583008,299.9200134277344,9856.240036010742,-149.57997131347656,-1.437599639892578,14,23,21,58,0.2413793103448276,0.39655172413793105,0.3620689655172414
59,149.99000549316406,1,1,BUY,"[144.13999938964844, 149.9600067138672, 149.99000549316406]",0.0,-17.3,10000,9406.330017089844,449.9700164794922,9856.300033569336,-149.57997131347656,-1.4369996643066407,14,24,21,59,0.23728813559322035,0.4067796610169492,0.3559322033898305
60,160.8800048828125,2,2,SELL,"[149.9600067138672, 149.99000549316406]",3.3,-14.0,10000,9567.210021972656,321.760009765625,9888.970031738281,-132.8399658203125,-1.1102996826171874,14,24,22,60,0.23333333333333334,0.4,0.36666666666666664
61,141.57000732421875,0,0,HOLD,"[149.9600067138672, 149.99000549316406]",0.0,-14.0,10000,9567.210021972656,283.1400146484375,9850.350036621094,-132.8399658203125,-1.4964996337890624,15,24,22,61,0.2459016393442623,0.39344262295081966,0.36065573770491804
62,155.91000366210938,2,2,SELL,[149.99000549316406],1.2,-12.8,10000,9723.120025634766,155.91000366210938,9879.030029296875,-126.88996887207031,-1.20969970703125,15,24,23,62,0.24193548387096775,0.3870967741935484,0.3709677419354839
63,156.10000610351562,0,0,HOLD,[149.99000549316406],0.0,-12.8,10000,9723.120025634766,156.10000610351562,9879.220031738281,-126.88996887207031,-1.2077996826171875,16,24,23,63,0.25396825396825395,0.38095238095238093,0.36507936507936506
64,139.22000122070312,1,1,BUY,"[149.99000549316406, 139.22000122070312]",1.0,-11.8,10000,9583.900024414062,278.44000244140625,9862.340026855469,-126.88996887207031,-1.3765997314453124,16,25,23,64,0.25,0.390625,0.359375
65,137.0500030517578,1,1,BUY,"[149.99000549316406, 139.22000122070312, 137.0500030517578]",1.0,-10.8,10000,9446.850021362305,411.15000915527344,9858.000030517578,-126.88996887207031,-1.4199996948242188,16,26,23,65,0.24615384615384617,0.4,0.35384615384615387
66,139.0,2,2,SELL,"[139.22000122070312, 137.0500030517578]",-2.2,-13.0,10000,9585.850021362305,278.0,9863.850021362305,-137.87997436523438,-1.3614997863769531,16,26,24,66,0.24242424242424243,0.3939393939393939,0.36363636363636365
67,152.32000732421875,1,1,BUY,"[139.22000122070312, 137.0500030517578, 152.32000732421875]",0.0,-13.0,10000,9433.530014038086,456.96002197265625,9890.490036010742,-137.87997436523438,-1.095099639892578,16,27,24,67,0.23880597014925373,0.40298507462686567,0.3582089552238806
68,148.6999969482422,2,2,SELL,"[137.0500030517578, 152.32000732421875]",1.9,-11.1,10000,9582.230010986328,297.3999938964844,9879.630004882812,-128.3999786376953,-1.2036999511718751,16,27,25,68,0.23529411764705882,0.39705882352941174,0.36764705882352944
69,159.2100067138672,1,1,BUY,"[137.0500030517578, 152.32000732421875, 159.2100067138672]",0.0,-11.1,10000,9423.020004272461,477.63002014160156,9900.650024414062,-128.3999786376953,-0.993499755859375,16,28,25,69,0.2318840579710145,0.4057971014492754,0.36231884057971014
70,164.89999389648438,0,0,HOLD,"[137.0500030517578, 152.32000732421875, 159.2100067138672]",0.0,-11.1,10000,9423.020004272461,494.6999816894531,9917.719985961914,-128.3999786376953,-0.8228001403808595,17,28,25,70,0.24285714285714285,0.4,0.35714285714285715
71,160.9199981689453,0,0,HOLD,"[137.0500030517578, 152.32000732421875, 159.2100067138672]",0.0,-11.1,10000,9423.020004272461,482.75999450683594,9905.779998779297,-128.3999786376953,-0.9422000122070312,18,28,25,71,0.2535211267605634,0.39436619718309857,0.352112676056338
72,172.22000122070312,1,1,BUY,"[137.0500030517578, 152.32000732421875, 159.2100067138672, 172.22000122070312]",0.0,-11.1,10000,9250.800003051758,688.8800048828125,9939.68000793457,-128.3999786376953,-0.603199920654297,18,29,25,72,0.25,0.4027777777777778,0.3472222222222222
73,169.13999938964844,0,0,HOLD,"[137.0500030517578, 152.32000732421875, 159.2100067138672, 172.22000122070312]",0.0,-11.1,10000,9250.800003051758,676.5599975585938,9927.360000610352,-128.3999786376953,-0.7263999938964844,19,29,25,73,0.2602739726027397,0.3972602739726027,0.3424657534246575
74,171.0,0,0,HOLD,"[137.0500030517578, 152.32000732421875, 159.2100067138672, 172.22000122070312]",0.0,-11.1,10000,9250.800003051758,684.0,9934.800003051758,-128.3999786376953,-0.6519999694824219,20,29,25,74,0.2702702702702703,0.3918918918918919,0.33783783783783783
75,180.94000244140625,2,2,SELL,"[152.32000732421875, 159.2100067138672, 172.22000122070312]",8.8,-2.299999999999999,10000,9431.740005493164,542.8200073242188,9974.560012817383,-84.50997924804688,-0.25439987182617185,20,29,26,75,0.26666666666666666,0.38666666666666666,0.3466666666666667
76,177.8699951171875,0,0,HOLD,"[152.32000732421875, 159.2100067138672, 172.22000122070312]",0.0,-2.299999999999999,10000,9431.740005493164,533.6099853515625,9965.349990844727,-84.50997924804688,-0.34650009155273437,21,29,26,76,0.27631578947368424,0.3815789473684211,0.34210526315789475
77,170.02000427246094,2,2,SELL,"[159.2100067138672, 172.22000122070312]",3.5,1.200000000000001,10000,9601.760009765625,340.0400085449219,9941.800018310547,-66.80998229980469,-0.5819998168945313,21,29,27,77,0.2727272727272727,0.37662337662337664,0.35064935064935066
78,175.3699951171875,2,2,SELL,[172.22000122070312],3.2,4.400000000000001,10000,9777.130004882812,175.3699951171875,9952.5,-50.649993896484375,-0.475,21,29,28,78,0.2692307692307692,0.3717948717948718,0.358974358974359
