Day,Price,Action Output,Action,Reward,Inventory,Initial Cash,Current Cash,Inventory Worth,Net Worth,Total Profit,Investment,HOLD,BUY,SELL,ALL,HOLD R,BUY R,SELL R
1,27.8886661529541,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,1,0,0,1,1.0,0.0,0.0
2,28.68400001525879,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,2,0,0,2,1.0,0.0,0.0
3,29.534000396728516,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,3,0,0,3,1.0,0.0,0.0
4,30.1026668548584,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,4,0,0,4,1.0,0.0,0.0
5,31.270666122436523,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,5,0,0,5,1.0,0.0,0.0
6,32.80933380126953,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,6,0,0,6,1.0,0.0,0.0
7,32.089332580566406,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,7,0,0,7,1.0,0.0,0.0
8,31.876667022705078,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,8,0,0,8,1.0,0.0,0.0
9,34.990665435791016,1,BUY,0.5,[34.990665435791016],10000,9965.009334564209,34.990665435791016,10000.0,0.0,0.0,8,1,0,9,0.8888888888888888,0.1111111111111111,0.0
10,35.861331939697266,0,HOLD,4.5397868702434395e-05,[34.990665435791016],10000,9965.009334564209,35.861331939697266,10000.870666503906,0.0,0.0087066650390625,9,1,0,10,0.9,0.1,0.0
11,34.56666564941406,0,HOLD,4.5397868702434395e-05,[34.990665435791016],10000,9965.009334564209,34.56666564941406,9999.576000213623,0.0,-0.004239997863769531,10,1,0,11,0.9090909090909091,0.09090909090909091,0.0
12,34.232666015625,2,SELL,0.31908077124468154,[],10000,9999.242000579834,0.0,9999.242000579834,-0.7579994201660156,-0.007579994201660156,10,1,1,12,0.8333333333333334,0.08333333333333333,0.08333333333333333
13,34.03333282470703,0,HOLD,0.5,[],10000,9999.242000579834,0.0,9999.242000579834,-0.7579994201660156,-0.007579994201660156,10,1,1,12,0.8333333333333334,0.08333333333333333,0.08333333333333333
14,36.47999954223633,0,HOLD,4.5397868702434395e-05,[],10000,9999.242000579834,0.0,9999.242000579834,-0.7579994201660156,-0.007579994201660156,11,1,1,13,0.8461538461538461,0.07692307692307693,0.07692307692307693
15,37.97066879272461,0,HOLD,4.5397868702434395e-05,[],10000,9999.242000579834,0.0,9999.242000579834,-0.7579994201660156,-0.007579994201660156,12,1,1,14,0.8571428571428571,0.07142857142857142,0.07142857142857142
16,38.14666748046875,0,HOLD,4.5397868702434395e-05,[],10000,9999.242000579834,0.0,9999.242000579834,-0.7579994201660156,-0.007579994201660156,13,1,1,15,0.8666666666666667,0.06666666666666667,0.06666666666666667
17,37.654666900634766,0,HOLD,4.5397868702434395e-05,[],10000,9999.242000579834,0.0,9999.242000579834,-0.7579994201660156,-0.007579994201660156,14,1,1,16,0.875,0.0625,0.0625
18,37.201332092285156,1,BUY,0.5,[37.201332092285156],10000,9962.040668487549,37.201332092285156,9999.242000579834,-0.7579994201660156,-0.007579994201660156,14,2,1,17,0.8235294117647058,0.11764705882352941,0.058823529411764705
19,37.793331146240234,0,HOLD,4.5397868702434395e-05,[37.201332092285156],10000,9962.040668487549,37.793331146240234,9999.833999633789,-0.7579994201660156,-0.001660003662109375,15,2,1,18,0.8333333333333334,0.1111111111111111,0.05555555555555555
20,38.732666015625,2,SELL,0.8222013992927286,[],10000,10000.773334503174,0.0,10000.773334503174,0.7733345031738281,0.007733345031738281,15,2,2,19,0.7894736842105263,0.10526315789473684,0.10526315789473684
21,42.72066879272461,0,HOLD,4.5397868702434395e-05,[],10000,10000.773334503174,0.0,10000.773334503174,0.7733345031738281,0.007733345031738281,16,2,2,20,0.8,0.1,0.1
22,43.371334075927734,0,HOLD,4.5397868702434395e-05,[],10000,10000.773334503174,0.0,10000.773334503174,0.7733345031738281,0.007733345031738281,17,2,2,21,0.8095238095238095,0.09523809523809523,0.09523809523809523
23,52.0,0,HOLD,4.5397868702434395e-05,[],10000,10000.773334503174,0.0,10000.773334503174,0.7733345031738281,0.007733345031738281,18,2,2,22,0.8181818181818182,0.09090909090909091,0.09090909090909091
24,59.137332916259766,0,HOLD,4.5397868702434395e-05,[],10000,10000.773334503174,0.0,10000.773334503174,0.7733345031738281,0.007733345031738281,19,2,2,23,0.8260869565217391,0.08695652173913043,0.08695652173913043
25,48.97999954223633,0,HOLD,4.5397868702434395e-05,[],10000,10000.773334503174,0.0,10000.773334503174,0.7733345031738281,0.007733345031738281,20,2,2,24,0.8333333333333334,0.08333333333333333,0.08333333333333333
26,49.930667877197266,0,HOLD,4.5397868702434395e-05,[],10000,10000.773334503174,0.0,10000.773334503174,0.7733345031738281,0.007733345031738281,21,2,2,25,0.84,0.08,0.08
27,49.871334075927734,0,HOLD,4.5397868702434395e-05,[],10000,10000.773334503174,0.0,10000.773334503174,0.7733345031738281,0.007733345031738281,22,2,2,26,0.8461538461538461,0.07692307692307693,0.07692307692307693
28,51.41866683959961,0,HOLD,4.5397868702434395e-05,[],10000,10000.773334503174,0.0,10000.773334503174,0.7733345031738281,0.007733345031738281,23,2,2,27,0.8518518518518519,0.07407407407407407,0.07407407407407407
29,51.62533187866211,1,BUY,0.5,[51.62533187866211],10000,9949.148002624512,51.62533187866211,10000.773334503174,0.7733345031738281,0.007733345031738281,23,3,2,28,0.8214285714285714,0.10714285714285714,0.07142857142857142
30,51.15266799926758,1,BUY,0.5,"[51.62533187866211, 51.15266799926758]",10000,9897.995334625244,102.30533599853516,10000.30067062378,0.7733345031738281,0.0030067062377929685,23,4,2,29,0.7931034482758621,0.13793103448275862,0.06896551724137931
31,53.599998474121094,2,SELL,0.8781114688682073,[51.15266799926758],10000,9951.595333099365,53.599998474121094,10005.195331573486,2.7480010986328125,0.05195331573486328,23,4,3,30,0.7666666666666667,0.13333333333333333,0.1
32,53.33533477783203,0,HOLD,4.5397868702434395e-05,[51.15266799926758],10000,9951.595333099365,53.33533477783203,10004.930667877197,2.7480010986328125,0.04930667877197266,24,4,3,31,0.7741935483870968,0.12903225806451613,0.0967741935483871
33,57.22666549682617,0,HOLD,4.5397868702434395e-05,[51.15266799926758],10000,9951.595333099365,57.22666549682617,10008.821998596191,2.7480010986328125,0.08821998596191406,25,4,3,32,0.78125,0.125,0.09375
34,61.16133117675781,0,HOLD,4.5397868702434395e-05,[51.15266799926758],10000,9951.595333099365,61.16133117675781,10012.756664276123,2.7480010986328125,0.12756664276123048,26,4,3,33,0.7878787878787878,0.12121212121212122,0.09090909090909091
35,59.96066665649414,0,HOLD,4.5397868702434395e-05,[51.15266799926758],10000,9951.595333099365,59.96066665649414,10011.55599975586,2.7480010986328125,0.11555999755859375,27,4,3,34,0.7941176470588235,0.11764705882352941,0.08823529411764706
36,60.06666564941406,0,HOLD,4.5397868702434395e-05,[51.15266799926758],10000,9951.595333099365,60.06666564941406,10011.66199874878,2.7480010986328125,0.11661998748779298,28,4,3,35,0.8,0.11428571428571428,0.08571428571428572
37,55.58599853515625,0,HOLD,4.5397868702434395e-05,[51.15266799926758],10000,9951.595333099365,55.58599853515625,10007.181331634521,2.7480010986328125,0.07181331634521484,29,4,3,36,0.8055555555555556,0.1111111111111111,0.08333333333333333
38,53.32733154296875,0,HOLD,4.5397868702434395e-05,[51.15266799926758],10000,9951.595333099365,53.32733154296875,10004.922664642334,2.7480010986328125,0.04922664642333985,30,4,3,37,0.8108108108108109,0.10810810810810811,0.08108108108108109
39,51.91999816894531,0,HOLD,4.5397868702434395e-05,[51.15266799926758],10000,9951.595333099365,51.91999816894531,10003.51533126831,2.7480010986328125,0.03515331268310547,31,4,3,38,0.8157894736842105,0.10526315789473684,0.07894736842105263
40,45.266666412353516,1,BUY,0.5,"[51.15266799926758, 45.266666412353516]",10000,9906.328666687012,90.53333282470703,9996.861999511719,2.7480010986328125,-0.0313800048828125,31,5,3,39,0.7948717948717948,0.1282051282051282,0.07692307692307693
41,44.53266525268555,0,HOLD,4.5397868702434395e-05,"[51.15266799926758, 45.266666412353516]",10000,9906.328666687012,89.0653305053711,9995.393997192383,2.7480010986328125,-0.04606002807617188,32,5,3,40,0.8,0.125,0.075
42,49.574668884277344,2,SELL,0.17107904281902683,[45.266666412353516],10000,9955.903335571289,49.574668884277344,10005.478004455566,1.1700019836425781,0.05478004455566406,32,5,4,41,0.7804878048780488,0.12195121951219512,0.0975609756097561
43,49.70066833496094,0,HOLD,4.5397868702434395e-05,[45.266666412353516],10000,9955.903335571289,49.70066833496094,10005.60400390625,1.1700019836425781,0.0560400390625,33,5,4,42,0.7857142857142857,0.11904761904761904,0.09523809523809523
44,49.96666717529297,1,BUY,0.5,"[45.266666412353516, 49.96666717529297]",10000,9905.936668395996,99.93333435058594,10005.870002746582,1.1700019836425781,0.058700027465820315,33,6,4,43,0.7674418604651163,0.13953488372093023,0.09302325581395349
45,48.30266571044922,0,HOLD,4.5397868702434395e-05,"[45.266666412353516, 49.96666717529297]",10000,9905.936668395996,96.60533142089844,10002.541999816895,1.1700019836425781,0.025419998168945312,34,6,4,44,0.7727272727272727,0.13636363636363635,0.09090909090909091
46,46.89866638183594,0,HOLD,4.5397868702434395e-05,"[45.266666412353516, 49.96666717529297]",10000,9905.936668395996,93.79733276367188,9999.734001159668,1.1700019836425781,-0.0026599884033203123,35,6,4,45,0.7777777777777778,0.13333333333333333,0.08888888888888889
47,40.53333282470703,0,HOLD,4.5397868702434395e-05,"[45.266666412353516, 49.96666717529297]",10000,9905.936668395996,81.06666564941406,9987.00333404541,1.1700019836425781,-0.12996665954589842,36,6,4,46,0.782608695652174,0.13043478260869565,0.08695652173913043
48,43.02199935913086,0,HOLD,4.5397868702434395e-05,"[45.266666412353516, 49.96666717529297]",10000,9905.936668395996,86.04399871826172,9991.980667114258,1.1700019836425781,-0.08019332885742188,37,6,4,47,0.7872340425531915,0.1276595744680851,0.0851063829787234
49,42.28200149536133,2,SELL,0.04812348896962219,[49.96666717529297],10000,9948.218669891357,42.28200149536133,9990.500671386719,-1.8146629333496094,-0.09499328613281251,37,6,5,48,0.7708333333333334,0.125,0.10416666666666667
50,37.369998931884766,0,HOLD,4.5397868702434395e-05,[49.96666717529297],10000,9948.218669891357,37.369998931884766,9985.588668823242,-1.8146629333496094,-0.14411331176757813,38,6,5,49,0.7755102040816326,0.12244897959183673,0.10204081632653061
51,36.44133377075195,0,HOLD,4.5397868702434395e-05,[49.96666717529297],10000,9948.218669891357,36.44133377075195,9984.66000366211,-1.8146629333496094,-0.15339996337890627,39,6,5,50,0.78,0.12,0.1
52,29.67133331298828,0,HOLD,4.5397868702434395e-05,[49.96666717529297],10000,9948.218669891357,29.67133331298828,9977.890003204346,-1.8146629333496094,-0.22109996795654294,40,6,5,51,0.7843137254901961,0.11764705882352941,0.09803921568627451
53,28.68000030517578,0,HOLD,4.5397868702434395e-05,[49.96666717529297],10000,9948.218669891357,28.68000030517578,9976.898670196533,-1.8146629333496094,-0.23101329803466797,41,6,5,52,0.7884615384615384,0.11538461538461539,0.09615384615384616
54,24.08133316040039,0,HOLD,4.5397868702434395e-05,[49.96666717529297],10000,9948.218669891357,24.08133316040039,9972.300003051758,-1.8146629333496094,-0.27699996948242184,42,6,5,53,0.7924528301886793,0.11320754716981132,0.09433962264150944
