Day,Price,Action Output,Action,Reward,Inventory,Initial Cash,Current Cash,Inventory Worth,Net Worth,Total Profit,Investment,HOLD,BUY,SELL,ALL,HOLD R,BUY R,SELL R
1,27.8886661529541,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,1,0,0,1,1.0,0.0,0.0
2,28.68400001525879,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,2,0,0,2,1.0,0.0,0.0
3,29.534000396728516,0,HOLD,0.5,[],10000,10000.0,0.0,10000.0,0.0,0.0,2,0,0,2,1.0,0.0,0.0
4,30.1026668548584,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,3,0,0,3,1.0,0.0,0.0
5,31.270666122436523,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,4,0,0,4,1.0,0.0,0.0
6,32.80933380126953,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,5,0,0,5,1.0,0.0,0.0
7,32.089332580566406,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,6,0,0,6,1.0,0.0,0.0
8,31.876667022705078,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,7,0,0,7,1.0,0.0,0.0
9,34.990665435791016,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,8,0,0,8,1.0,0.0,0.0
10,35.861331939697266,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,9,0,0,9,1.0,0.0,0.0
11,34.56666564941406,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,10,0,0,10,1.0,0.0,0.0
12,34.232666015625,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,11,0,0,11,1.0,0.0,0.0
13,34.03333282470703,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,12,0,0,12,1.0,0.0,0.0
14,36.47999954223633,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,13,0,0,13,1.0,0.0,0.0
15,37.97066879272461,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,14,0,0,14,1.0,0.0,0.0
16,38.14666748046875,0,HOLD,4.5397868702434395e-05,[],10000,10000.0,0.0,10000.0,0.0,0.0,15,0,0,15,1.0,0.0,0.0
17,37.654666900634766,1,BUY,0.5,[37.654666900634766],10000,9962.345333099365,37.654666900634766,10000.0,0.0,0.0,15,1,0,16,0.9375,0.0625,0.0
18,37.201332092285156,0,HOLD,4.5397868702434395e-05,[37.654666900634766],10000,9962.345333099365,37.201332092285156,9999.54666519165,0.0,-0.004533348083496094,16,1,0,17,0.9411764705882353,0.058823529411764705,0.0
19,37.793331146240234,0,HOLD,4.5397868702434395e-05,[37.654666900634766],10000,9962.345333099365,37.793331146240234,10000.138664245605,0.0,0.0013866424560546875,17,1,0,18,0.9444444444444444,0.05555555555555555,0.0
20,38.732666015625,0,HOLD,4.5397868702434395e-05,[37.654666900634766],10000,9962.345333099365,38.732666015625,10001.07799911499,0.0,0.010779991149902343,18,1,0,19,0.9473684210526315,0.05263157894736842,0.0
21,42.72066879272461,1,BUY,0.5,"[37.654666900634766, 42.72066879272461]",10000,9919.62466430664,85.44133758544922,10005.06600189209,0.0,0.050660018920898435,18,2,0,20,0.9,0.1,0.0
22,43.371334075927734,0,HOLD,4.5397868702434395e-05,"[37.654666900634766, 42.72066879272461]",10000,9919.62466430664,86.74266815185547,10006.367332458496,0.0,0.06367332458496093,19,2,0,21,0.9047619047619048,0.09523809523809523,0.0
23,52.0,0,HOLD,4.5397868702434395e-05,"[37.654666900634766, 42.72066879272461]",10000,9919.62466430664,104.0,10023.62466430664,0.0,0.23624664306640628,20,2,0,22,0.9090909090909091,0.09090909090909091,0.0
24,59.137332916259766,2,SELL,0.999999999532053,[42.72066879272461],10000,9978.7619972229,59.137332916259766,10037.89933013916,21.482666015625,0.37899330139160153,20,2,1,23,0.8695652173913043,0.08695652173913043,0.043478260869565216
25,48.97999954223633,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9978.7619972229,48.97999954223633,10027.741996765137,21.482666015625,0.27741996765136717,21,2,1,24,0.875,0.08333333333333333,0.041666666666666664
26,49.930667877197266,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9978.7619972229,49.930667877197266,10028.692665100098,21.482666015625,0.28692665100097653,22,2,1,25,0.88,0.08,0.04
27,49.871334075927734,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9978.7619972229,49.871334075927734,10028.633331298828,21.482666015625,0.28633331298828124,23,2,1,26,0.8846153846153846,0.07692307692307693,0.038461538461538464
28,51.41866683959961,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9978.7619972229,51.41866683959961,10030.1806640625,21.482666015625,0.301806640625,24,2,1,27,0.8888888888888888,0.07407407407407407,0.037037037037037035
29,51.62533187866211,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9978.7619972229,51.62533187866211,10030.387329101562,21.482666015625,0.303873291015625,25,2,1,28,0.8928571428571429,0.07142857142857142,0.03571428571428571
30,51.15266799926758,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9978.7619972229,51.15266799926758,10029.914665222168,21.482666015625,0.2991466522216797,26,2,1,29,0.896551724137931,0.06896551724137931,0.034482758620689655
31,53.599998474121094,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9978.7619972229,53.599998474121094,10032.361995697021,21.482666015625,0.32361995697021484,27,2,1,30,0.9,0.06666666666666667,0.03333333333333333
32,53.33533477783203,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9978.7619972229,53.33533477783203,10032.097332000732,21.482666015625,0.3209733200073242,28,2,1,31,0.9032258064516129,0.06451612903225806,0.03225806451612903
33,57.22666549682617,0,HOLD,4.5397868702434395e-05,[42.72066879272461],10000,9978.7619972229,57.22666549682617,10035.988662719727,21.482666015625,0.3598866271972656,29,2,1,32,0.90625,0.0625,0.03125
34,61.16133117675781,2,SELL,0.9999999901978335,[],10000,10039.923328399658,0.0,10039.923328399658,39.9233283996582,0.39923328399658203,29,2,2,33,0.8787878787878788,0.06060606060606061,0.06060606060606061
35,59.96066665649414,1,BUY,0.5,[59.96066665649414],10000,9979.962661743164,59.96066665649414,10039.923328399658,39.9233283996582,0.39923328399658203,29,3,2,34,0.8529411764705882,0.08823529411764706,0.058823529411764705
36,60.06666564941406,0,HOLD,4.5397868702434395e-05,[59.96066665649414],10000,9979.962661743164,60.06666564941406,10040.029327392578,39.9233283996582,0.4002932739257813,30,3,2,35,0.8571428571428571,0.08571428571428572,0.05714285714285714
37,55.58599853515625,0,HOLD,4.5397868702434395e-05,[59.96066665649414],10000,9979.962661743164,55.58599853515625,10035.54866027832,39.9233283996582,0.3554866027832031,31,3,2,36,0.8611111111111112,0.08333333333333333,0.05555555555555555
38,53.32733154296875,2,SELL,0.0013140385569151156,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,31,3,3,37,0.8378378378378378,0.08108108108108109,0.08108108108108109
39,51.91999816894531,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,32,3,3,38,0.8421052631578947,0.07894736842105263,0.07894736842105263
40,45.266666412353516,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,33,3,3,39,0.8461538461538461,0.07692307692307693,0.07692307692307693
41,44.53266525268555,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,34,3,3,40,0.85,0.075,0.075
42,49.574668884277344,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,35,3,3,41,0.8536585365853658,0.07317073170731707,0.07317073170731707
43,49.70066833496094,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,36,3,3,42,0.8571428571428571,0.07142857142857142,0.07142857142857142
44,49.96666717529297,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,37,3,3,43,0.8604651162790697,0.06976744186046512,0.06976744186046512
45,48.30266571044922,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,38,3,3,44,0.8636363636363636,0.06818181818181818,0.06818181818181818
46,46.89866638183594,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,39,3,3,45,0.8666666666666667,0.06666666666666667,0.06666666666666667
47,40.53333282470703,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,40,3,3,46,0.8695652173913043,0.06521739130434782,0.06521739130434782
48,43.02199935913086,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,41,3,3,47,0.8723404255319149,0.06382978723404255,0.06382978723404255
49,42.28200149536133,0,HOLD,0.5,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,41,3,3,47,0.8723404255319149,0.06382978723404255,0.06382978723404255
50,37.369998931884766,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,42,3,3,48,0.875,0.0625,0.0625
51,36.44133377075195,0,HOLD,0.5,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,42,3,3,48,0.875,0.0625,0.0625
52,29.67133331298828,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,43,3,3,49,0.8775510204081632,0.061224489795918366,0.061224489795918366
53,28.68000030517578,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,44,3,3,50,0.88,0.06,0.06
54,24.08133316040039,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,45,3,3,51,0.8823529411764706,0.058823529411764705,0.058823529411764705
55,28.50933265686035,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,46,3,3,52,0.8846153846153846,0.057692307692307696,0.057692307692307696
56,28.50200080871582,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,47,3,3,53,0.8867924528301887,0.05660377358490566,0.05660377358490566
57,28.952667236328125,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,48,3,3,54,0.8888888888888888,0.05555555555555555,0.05555555555555555
58,33.66666793823242,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,49,3,3,55,0.8909090909090909,0.05454545454545454,0.05454545454545454
59,35.95000076293945,0,HOLD,4.5397868702434395e-05,[],10000,10033.289993286133,0.0,10033.289993286133,33.28999328613281,0.33289993286132813,50,3,3,56,0.8928571428571429,0.05357142857142857,0.05357142857142857
